"job_id","company_name","job_location","salary_year_avg","skills"
1052140,"Xero","Wellington, New Zealand","102500.0","sql"
1052140,"Xero","Wellington, New Zealand","102500.0","snowflake"
355925,"Octopus Energy","Wellington, New Zealand","102500.0","aws"
355925,"Octopus Energy","Wellington, New Zealand","102500.0","jupyter"
355925,"Octopus Energy","Wellington, New Zealand","102500.0","github"
907503,"PikPok","Wellington, New Zealand","100500.0","sql"
907503,"PikPok","Wellington, New Zealand","100500.0","python"
907503,"PikPok","Wellington, New Zealand","100500.0","r"
907503,"PikPok","Wellington, New Zealand","100500.0","tableau"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","sql"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","python"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","r"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","matlab"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","spark"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","jupyter"
38593,"Meridian Energy","Wellington, New Zealand","51014.0","power bi"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","sql"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","python"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","r"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","matlab"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","spark"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","jupyter"
439493,"Meridian Energy","Christchurch, New Zealand","51014.0","power bi"
364012,"Contact Energy","Wellington, New Zealand","50400.0","sql"
364012,"Contact Energy","Wellington, New Zealand","50400.0","python"
364012,"Contact Energy","Wellington, New Zealand","50400.0","r"
364012,"Contact Energy","Wellington, New Zealand","50400.0","jupyter"
364012,"Contact Energy","Wellington, New Zealand","50400.0","dplyr"
364012,"Contact Energy","Wellington, New Zealand","50400.0","power bi"
1290365,"KPMG New Zealand","New Zealand","32400.0","azure"
1290365,"KPMG New Zealand","New Zealand","32400.0","aws"
1290365,"KPMG New Zealand","New Zealand","32400.0","excel"
1290365,"KPMG New Zealand","New Zealand","32400.0","word"
1290365,"KPMG New Zealand","New Zealand","32400.0","powerpoint"
1290365,"KPMG New Zealand","New Zealand","32400.0","outlook"
